ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,intercept,slope,logSigma
1,0,.10370388,.0000000,7,3,-6.1519762,1.2415793,1.7095716,.60602176E-02
1,0,.10379321,.25966935E-02,7,5,-6.6122974,1.4413585,2.1276300,.18759458E-01
1,0,.10412600,.0000000,7,1,-5.2509492,1.4687117,1.9843876,-.21142595
1,0,.10426831,.0000000,7,12,-6.6842192,1.6319744,2.0651261,-.83741878E-01
1,0,.10466056,.0000000,7,4,-6.0822725,1.5664901,2.0914247,-.54733839
1,0,.10502062,.13037569E-01,7,5,-5.0503381,1.3321795,2.0520688,-.21121881
1,0,.10507168,.0000000,7,1,-6.4623610,1.9797023,1.6691052,-.55019526
1,0,.10515975,.0000000,7,2,-7.2620972,1.4359196,1.3463332,-.10587517
1,0,.10545039,.0000000,7,2,-3.7927324,1.0284906,1.8709785,-.47138883
1,0,.10574087,.0000000,7,2,-2.8321004,1.1762294,1.9231326,-.59795339
1,0,.10584192,.21168025E-02,7,4,-3.2232117,1.3368609,1.7445455,-.69854608
1,0,.10597649,.0000000,7,8,-3.6771163,1.4687314,1.7493546,-.55393167
1,0,.10613508,.0000000,7,1,-4.2940967,.61843870,2.0470868,-.64923776
1,0,.10617538,.20026918E-02,7,7,-5.7878331,1.2528189,1.8947192,-.52158829E-02
1,0,.10638510,.0000000,7,4,-4.3839682,1.5236788,1.9708181,-.71113223
